doc_id,instance_id,entity_id,scope,sha256,original_path,file_name,extension,size_bytes,last_modified,first_seen,source_zone,source_kind,lot,document_type,suspected_date,emitter,status_ocr,classification_status,text_path,page_count,text_char_count,extraction_level,text_quality,ocr_engine,docling_path,layout_path,ai_review_status,sensitivity,notes,raw_max_college,derivative_max_college,publication_form,restriction_reasons,personal_data_level,ip_status,ai_processing_ceiling,review_required,policy_confidence,required_transformations,screening_signals,privacy_review_status,redaction_status,redaction_mode,redacted_path,redacted_sha256,redaction_map_id
DOC-1526D530DB8C,synthetic-copro,main,internal,1526d530db8c1c046643b4e04e917468e864e6abf0b8d5241817e34efccd9f56,raw\2025-01-15_facture_entretien_jardin.txt,2025-01-15_facture_entretien_jardin.txt,txt,234,2026-05-20T04:34:00+00:00,2026-05-20T04:48:12+00:00,RAW,raw,Factures_Fournisseurs,Facture,2025-01-15,,TEXT_EXTRACTED,AUTO_CLASSIFIED,staging\text\DOC-1526D530DB8C.native.txt,1,233,P1_NATIVE_TEXT,strong,,,,,internal,,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,finance;tiers,incidental,unknown,local_only,,medium,redaction,SIRET:count=1:confidence=medium:reason=tiers,AUTO_POLICY,,,,,
DOC-2E921831ECEF,synthetic-copro,main,internal,2e921831ecefe9b913cfdd3b26a61747e3cbb7e21885eb43dd68d5c958e9e696,raw\2025-12-31_annexe_comptable.txt,2025-12-31_annexe_comptable.txt,txt,83,2026-05-13T11:22:39+00:00,2026-05-20T04:48:12+00:00,RAW,raw,Comptes,Annexe_Comptable,2025-12-31,,TEXT_EXTRACTED,AUTO_CLASSIFIED,staging\text\DOC-2E921831ECEF.native.txt,1,82,P1_NATIVE_TEXT,strong,,,,,internal,,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,finance,none,unknown,local_only,,medium,redaction,,AUTO_POLICY,,,,,
DOC-D56FE3F8D60F,synthetic-copro,main,internal,d56fe3f8d60f951b99f8c5bf987c87416cbbfce30c985b5dc6f4e729dec9f9e7,raw\2026-01-15_contrat_syndic.txt,2026-01-15_contrat_syndic.txt,txt,156,2026-05-13T11:22:39+00:00,2026-05-20T04:48:12+00:00,RAW,raw,Syndic,Contrat_Syndic,2026-01-15,,TEXT_EXTRACTED,AUTO_CLASSIFIED,staging\text\DOC-D56FE3F8D60F.native.txt,1,155,P1_NATIVE_TEXT,strong,,,,,internal,,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,,none,unknown,local_only,,medium,redaction,,AUTO_POLICY,,,,,
DOC-DF0C3F3BD930,synthetic-copro,main,internal,df0c3f3bd9305cbd2c3aeb56574c64361ce7618003c9ac66d55a7ad4b47d4b37,raw\2026-03-01_devis_toiture.txt,2026-03-01_devis_toiture.txt,txt,119,2026-05-13T11:22:39+00:00,2026-05-20T04:48:12+00:00,RAW,raw,Factures_Fournisseurs,Devis,2026-03-01,,TEXT_EXTRACTED,AUTO_CLASSIFIED,staging\text\DOC-DF0C3F3BD930.native.txt,1,118,P1_NATIVE_TEXT,strong,,,,,internal,,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,finance,none,third_party_report,local_only,,medium,redaction,,AUTO_POLICY,,,,,
DOC-4E884D06E0AD,synthetic-copro,main,internal,4e884d06e0ad2af764476a956c0f5b6e1027c6599dde7832680053456df8a397,raw\2026-04-29_convocation_ag.txt,2026-04-29_convocation_ag.txt,txt,362,2026-05-13T11:22:39+00:00,2026-05-20T04:48:12+00:00,RAW,raw,AG,Convocation_AG,2026-04-29,,TEXT_EXTRACTED,AUTO_CLASSIFIED,staging\text\DOC-4E884D06E0AD.native.txt,1,361,P1_NATIVE_TEXT,strong,,,,,internal,,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,,none,unknown,local_only,,medium,redaction,,AUTO_POLICY,,,,,
DOC-840453CA134B,synthetic-copro,main,internal,840453ca134b238246bf5125e0b674494e38a3583424a2c5fd34c3d7a1a422e9,raw\2026-05-12_demande_pieces_syndic.txt,2026-05-12_demande_pieces_syndic.txt,txt,127,2026-05-13T11:22:39+00:00,2026-05-20T04:48:12+00:00,RAW,raw,Communication,Communication,2026-05-12,,TEXT_EXTRACTED,AUTO_CLASSIFIED,staging\text\DOC-840453CA134B.native.txt,1,126,P1_NATIVE_TEXT,strong,,,,,internal,,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,,none,unknown,local_only,,medium,redaction,,AUTO_POLICY,,,,,
DOC-A706908C67CA,synthetic-copro,main,screening,a706908c67ca6e0b638bd5cb449b1d3f77516a5716d1a2bf918e6ad5afe4615f,system\accounting\expense_statement_lines_2025.csv,expense_statement_lines_2025.csv,csv,214,2026-05-20T04:30:27+00:00,2026-05-20T10:37:57+00:00,system,screened_existing,,,,,PENDING,PENDING,,,,,,,,,,,,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,,none,unknown,local_only,YES,low,redaction,,A_REVOIR,,,,,
DOC-AC9D717F2E33,synthetic-copro,main,screening,ac9d717f2e33445f1545d6e89403af62f314de9d977af8c4cfa9a455c0858018,system\due_diligence\recherche_entreprises_DEMO_TOITURE.json,recherche_entreprises_DEMO_TOITURE.json,json,536,2026-05-13T11:22:39+00:00,2026-05-20T10:37:57+00:00,system,screened_existing,,,,,PENDING,PENDING,,,,,,,,,,,,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,tiers,incidental,unknown,local_only,YES,low,redaction,SIRET:count=1:confidence=medium:reason=tiers,A_REVOIR,,,,,
DOC-03B1F944A530,synthetic-copro,main,screening,03b1f944a530479d70d74721b791a52382e0661f928f6b29f960d9ce7c0d4bc7,system\matrices\matrice_conformite_extranet.csv,matrice_conformite_extranet.csv,csv,160,2026-05-13T11:22:39+00:00,2026-05-20T10:37:57+00:00,system,screened_existing,,,,,PENDING,PENDING,,,,,,,,,,,,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,,none,unknown,local_only,,medium,redaction,,AUTO_POLICY,,,,,
DOC-9274AE69C3B5,synthetic-copro,main,screening,9274ae69c3b57860019c893bc9e3aeacb2ff766ca1b7495fc4d022c04f14dd12,system\matrices\matrice_preuves_attendues.csv,matrice_preuves_attendues.csv,csv,352,2026-05-13T11:22:39+00:00,2026-05-20T10:37:57+00:00,system,screened_existing,,,,,PENDING,PENDING,,,,,,,,,,,,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,finance,none,unknown,local_only,,medium,redaction,,AUTO_POLICY,,,,,
