doc_id,file_name,original_path,raw_max_college,derivative_max_college,publication_form,required_transformations,review_required,recommended_mode,queue_status
DOC-1526D530DB8C,2025-01-15_facture_entretien_jardin.txt,raw\2025-01-15_facture_entretien_jardin.txt,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,,redaction_irreversible,READY_FOR_LOCAL_REDACTION
DOC-2E921831ECEF,2025-12-31_annexe_comptable.txt,raw\2025-12-31_annexe_comptable.txt,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,,redaction_irreversible,READY_FOR_LOCAL_REDACTION
DOC-D56FE3F8D60F,2026-01-15_contrat_syndic.txt,raw\2026-01-15_contrat_syndic.txt,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,,redaction_irreversible,READY_FOR_LOCAL_REDACTION
DOC-DF0C3F3BD930,2026-03-01_devis_toiture.txt,raw\2026-03-01_devis_toiture.txt,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,,redaction_irreversible,READY_FOR_LOCAL_REDACTION
DOC-4E884D06E0AD,2026-04-29_convocation_ag.txt,raw\2026-04-29_convocation_ag.txt,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,,redaction_irreversible,READY_FOR_LOCAL_REDACTION
DOC-840453CA134B,2026-05-12_demande_pieces_syndic.txt,raw\2026-05-12_demande_pieces_syndic.txt,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,,redaction_irreversible,READY_FOR_LOCAL_REDACTION
DOC-A706908C67CA,expense_statement_lines_2025.csv,system\accounting\expense_statement_lines_2025.csv,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,YES,redaction_irreversible,READY_FOR_LOCAL_REDACTION
DOC-AC9D717F2E33,recherche_entreprises_DEMO_TOITURE.json,system\due_diligence\recherche_entreprises_DEMO_TOITURE.json,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,YES,redaction_irreversible,READY_FOR_LOCAL_REDACTION
DOC-03B1F944A530,matrice_conformite_extranet.csv,system\matrices\matrice_conformite_extranet.csv,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,,redaction_irreversible,READY_FOR_LOCAL_REDACTION
DOC-9274AE69C3B5,matrice_preuves_attendues.csv,system\matrices\matrice_preuves_attendues.csv,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,,redaction_irreversible,READY_FOR_LOCAL_REDACTION
DOC-FICTIF-SYNDIC-ASSUR,2026-05-04_reponse_syndic_assurance_fictive.txt,raw\2026-05-04_reponse_syndic_assurance_fictive.txt,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,YES,redaction_irreversible,READY_FOR_LOCAL_REDACTION
