doc_id,sha256,original_path,file_name,extension,source_zone,raw_max_college,derivative_max_college,publication_form,required_transformations,restriction_reasons,personal_data_level,ip_status,ai_processing_ceiling,review_required,policy_confidence,screening_signals,exposure_risk,remediation_priority,recommended_action
DOC-1526D530DB8C,1526d530db8c1c046643b4e04e917468e864e6abf0b8d5241817e34efccd9f56,raw\2025-01-15_facture_entretien_jardin.txt,2025-01-15_facture_entretien_jardin.txt,txt,RAW,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,finance;tiers,incidental,unknown,local_only,,medium,SIRET:count=1:confidence=medium:reason=tiers,NO_OBVIOUS_EXPOSURE,OK,Aucune action immediate.
DOC-2E921831ECEF,2e921831ecefe9b913cfdd3b26a61747e3cbb7e21885eb43dd68d5c958e9e696,raw\2025-12-31_annexe_comptable.txt,2025-12-31_annexe_comptable.txt,txt,RAW,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,finance,none,unknown,local_only,,medium,,NO_OBVIOUS_EXPOSURE,OK,Aucune action immediate.
DOC-D56FE3F8D60F,d56fe3f8d60f951b99f8c5bf987c87416cbbfce30c985b5dc6f4e729dec9f9e7,raw\2026-01-15_contrat_syndic.txt,2026-01-15_contrat_syndic.txt,txt,RAW,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,,none,unknown,local_only,,medium,,NO_OBVIOUS_EXPOSURE,OK,Aucune action immediate.
DOC-DF0C3F3BD930,df0c3f3bd9305cbd2c3aeb56574c64361ce7618003c9ac66d55a7ad4b47d4b37,raw\2026-03-01_devis_toiture.txt,2026-03-01_devis_toiture.txt,txt,RAW,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,finance,none,third_party_report,local_only,,medium,,NO_OBVIOUS_EXPOSURE,OK,Aucune action immediate.
DOC-4E884D06E0AD,4e884d06e0ad2af764476a956c0f5b6e1027c6599dde7832680053456df8a397,raw\2026-04-29_convocation_ag.txt,2026-04-29_convocation_ag.txt,txt,RAW,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,,none,unknown,local_only,,medium,,NO_OBVIOUS_EXPOSURE,OK,Aucune action immediate.
DOC-840453CA134B,840453ca134b238246bf5125e0b674494e38a3583424a2c5fd34c3d7a1a422e9,raw\2026-05-12_demande_pieces_syndic.txt,2026-05-12_demande_pieces_syndic.txt,txt,RAW,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,,none,unknown,local_only,,medium,,NO_OBVIOUS_EXPOSURE,OK,Aucune action immediate.
DOC-A706908C67CA,a706908c67ca6e0b638bd5cb449b1d3f77516a5716d1a2bf918e6ad5afe4615f,system\accounting\expense_statement_lines_2025.csv,expense_statement_lines_2025.csv,csv,system,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,,none,unknown,local_only,YES,low,,REVIEW_REQUIRED,P2,Revue humaine de la politique d'acces.
DOC-AC9D717F2E33,ac9d717f2e33445f1545d6e89403af62f314de9d977af8c4cfa9a455c0858018,system\due_diligence\recherche_entreprises_DEMO_TOITURE.json,recherche_entreprises_DEMO_TOITURE.json,json,system,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,tiers,incidental,unknown,local_only,YES,low,SIRET:count=1:confidence=medium:reason=tiers,REVIEW_REQUIRED,P2,Revue humaine de la politique d'acces.
DOC-03B1F944A530,03b1f944a530479d70d74721b791a52382e0661f928f6b29f960d9ce7c0d4bc7,system\matrices\matrice_conformite_extranet.csv,matrice_conformite_extranet.csv,csv,system,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,,none,unknown,local_only,,medium,,NO_OBVIOUS_EXPOSURE,OK,Aucune action immediate.
DOC-9274AE69C3B5,9274ae69c3b57860019c893bc9e3aeacb2ff766ca1b7495fc4d022c04f14dd12,system\matrices\matrice_preuves_attendues.csv,matrice_preuves_attendues.csv,csv,system,C4_Conseil_Syndical,C2_Coproprietaires,redaction_required,redaction,finance,none,unknown,local_only,,medium,,NO_OBVIOUS_EXPOSURE,OK,Aucune action immediate.
